Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
"RSG Hockey, LLC",Allain Roy,06/23/1994,30,Charles,Hudon,Charles Hudon," $650,000 "," $229,022 "," $800,000 "," $72,437 ", $-   , $-   ," $250,000 "," $510,250 "," $400,000 "," $503,366 ", $-   , $-   ," $784,925 ",160%," $2,100,000 "," $1,315,075 "
"RSG Hockey, LLC",Allain Roy,07/25/1995,29,Grant,Hutton,Grant Hutton, $-   , $-   , $-   , $-   ," $114,634 "," $30,080 "," $140,244 "," $406,292 "," $286,585 "," $105,600 "," $775,000 "," $240,445 "," $534,046 ",168%," $1,316,463 "," $782,417 "
"RSG Hockey, LLC",Allain Roy,05/14/1999,25,Parker,Kelly,Parker Kelly, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $734,146 "," $(600,739)"," $775,000 "," $1,147,926 "," $961,959 ",276%," $1,509,146 "," $547,187 "
"RSG Hockey, LLC",Allain Roy,07/04/1989,35,Keith,Kinkaid,Keith Kinkaid," $1,300,000 "," $858,397 "," $1,750,000 "," $(292,171)"," $750,000 "," $966,176 "," $900,000 "," $240,445 "," $400,000 "," $814,392 ", $-   , $-   ," $2,512,761 ",197%," $5,100,000 "," $2,587,239 "
"RSG Hockey, LLC",Allain Roy,12/06/1986,38,Pierre-Cedric,Labrie,Pierre-Cedric Labrie, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $132,800 ", $-   , $-   ," $(32,800)",75%," $100,000 "," $132,800 "
"RSG Hockey, LLC",Allain Roy,01/12/1993,32,Maxime,Lagace,Maxime Lagace," $160,000 "," $462,539 "," $225,000 "," $344,637 "," $250,000 "," $1,125,123 "," $250,000 "," $348,664 "," $250,000 "," $39,181 ", $-   , $-   ," $(1,185,144)",49%," $1,135,000 "," $2,320,144 "
"RSG Hockey, LLC",Allain Roy,01/29/1996,29,Juho,Lammikko,Juho Lammikko, $-   , $-   , $-   , $-   ," $100,000 "," $142,911 "," $750,000 "," $1,226,068 ", $-   , $-   , $-   , $-   ," $(518,979)",62%," $850,000 "," $1,368,979 "
"RSG Hockey, LLC",Allain Roy,12/05/1994,30,Tyler,Lewington,Tyler Lewington," $150,000 "," $427,329 "," $150,000 "," $(214,841)"," $200,000 "," $506,007 "," $350,000 "," $(88,135)", $-   , $-   , $-   , $-   ," $219,640 ",135%," $850,000 "," $630,360 "
"RSG Hockey, LLC",Allain Roy,08/18/1997,27,Carson,Meyer,Carson Meyer, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $231,707 "," $249,143 "," $289,878 "," $496,600 "," $(224,158)",70%," $521,585 "," $745,743 "
"RSG Hockey, LLC",Allain Roy,02/01/1996,29,Mason,Morelli,Mason Morelli, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $352,134 "," $722,167 "," $(370,033)",49%," $352,134 "," $722,167 "
"RSG Hockey, LLC",Allain Roy,01/25/1997,28,Philippe,Myers,Philippe Myers, $-   , $-   , $-   , $-   ," $1,300,000 "," $674,748 "," $2,550,000 "," $871,800 "," $3,800,000 "," $466,699 "," $1,400,000 "," $228,201 "," $6,808,552 ",404%," $9,050,000 "," $2,241,448 "
"RSG Hockey, LLC",Allain Roy,08/14/1996,28,Logan,O'Connor,Logan O'Connor, $-   , $-   , $-   , $-   ," $547,561 "," $915,674 "," $750,000 "," $3,259,410 "," $900,000 "," $2,860,380 "," $1,000,000 "," $3,181,664 "," $(7,019,567)",31%," $3,197,561 "," $10,217,128 "
"RSG Hockey, LLC",Allain Roy,08/13/1993,31,Cedric,Paquette,Cedric Paquette," $1,000,000 "," $1,834,577 "," $1,650,000 "," $960,746 "," $1,650,000 "," $(19,003)"," $950,000 "," $(951,477)", $-   , $-   , $-   , $-   ," $3,425,157 ",288%," $5,250,000 "," $1,824,843 "
"RSG Hockey, LLC",Allain Roy,02/01/1997,28,Tobie,Paquette-Bisson,Tobie Paquette-Bisson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $175,000 "," $113,760 ", $-   , $-   ," $61,240 ",154%," $175,000 "," $113,760 "
"RSG Hockey, LLC",Allain Roy,04/27/1996,28,Brendan,Perlini,Brendan Perlini, $-   , $-   ," $874,125 "," $(530,027)", $-   , $-   ," $250,000 "," $671,160 ", $-   , $-   , $-   , $-   ," $982,992 ",797%," $1,124,125 "," $141,133 "
"RSG Hockey, LLC",Allain Roy,04/06/1998,26,Matthew,Phillips,Matthew Phillips, $-   , $-   , $-   , $-   , $-   , $-   ," $333,293 "," $764,450 "," $370,610 "," $839,921 "," $775,000 "," $616,115 "," $(741,584)",67%," $1,478,902 "," $2,220,486 "
"RSG Hockey, LLC",Allain Roy,04/16/1996,28,John,Quenneville,John Quenneville, $-   , $-   ," $250,000 "," $234,422 "," $800,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $815,578 ",448%," $1,050,000 "," $234,422 "
"RSG Hockey, LLC",Allain Roy,09/07/1997,27,Austin,Rueschhoff,Austin Rueschhoff, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $80,000 "," $226,340 ", $-   , $-   ," $(146,340)",35%," $80,000 "," $226,340 "
"RSG Hockey, LLC",Allain Roy,03/31/1995,29,Kiefer,Sherwood,Kiefer Sherwood, $-   , $-   , $-   , $-   ," $664,634 "," $656,957 "," $679,146 "," $1,355,133 "," $750,000 "," $1,706,961 "," $775,000 "," $3,080,823 "," $(3,931,094)",42%," $2,868,780 "," $6,799,874 "
"RSG Hockey, LLC",Allain Roy,01/22/1997,28,Kole,Sherwood,Kole Sherwood, $-   , $-   , $-   , $-   ," $70,000 "," $(118,636)"," $150,000 "," $83,342 ", $-   , $-   , $-   , $-   ," $255,294 ",-623%," $220,000 "," $(35,294)"
"RSG Hockey, LLC",Allain Roy,05/06/1997,27,Jonas,Siegenthaler,Jonas Siegenthaler, $-   , $-   , $-   , $-   ," $800,000 "," $(66,721)"," $1,050,000 "," $1,582,179 "," $1,200,000 "," $6,125,613 "," $4,250,000 "," $1,322,699 "," $(1,663,770)",81%," $7,300,000 "," $8,963,770 "
"RSG Hockey, LLC",Allain Roy,12/01/1994,30,C.J.,Smith,C.J. Smith," $70,000 "," $668,590 "," $70,000 "," $242,800 "," $70,000 "," $99,280 "," $250,000 "," $640,650 "," $275,000 "," $42,360 ", $-   , $-   ," $(958,680)",43%," $735,000 "," $1,693,680 "
"RSG Hockey, LLC",Allain Roy,01/20/1994,31,Anthony,Stolarz,Anthony Stolarz," $761,250 "," $1,499,045 "," $800,000 "," $410,357 "," $700,000 "," $1,977,730 "," $950,000 "," $5,391,642 "," $950,000 "," $471,765 "," $1,100,000 "," $5,914,286 "," $(10,403,575)",34%," $5,261,250 "," $15,664,825 "
"RSG Hockey, LLC",Allain Roy,02/18/1995,29,Josh,Teves,Joshua Teves, $-   , $-   ," $125,000 "," $34,720 "," $700,000 "," $34,720 ", $-   , $-   , $-   , $-   , $-   , $-   ," $755,560 ",1188%," $825,000 "," $69,440 "
"RSG Hockey, LLC",Allain Roy,02/25/1997,27,Logan,Thompson,Logan Thompson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $475,610 "," $4,621,374 "," $775,000 "," $3,277,755 "," $(6,648,519)",16%," $1,250,610 "," $7,899,129 "
"RSG Hockey, LLC",Allain Roy,10/01/1996,28,Dmytro,Timashov,Dmytro Timashov, $-   , $-   , $-   , $-   ," $100,000 "," $(3,967)"," $160,000 ", $-   , $-   , $-   , $-   , $-   ," $263,967 ",-6554%," $260,000 "," $(3,967)"
"RSG Hockey, LLC",Allain Roy,02/11/1997,27,Sompel,Vande,Sompel Vande, $-   , $-   , $-   , $-   , $-   , $-   ," $225,000 "," $117,240 "," $275,000 "," $221,990 "," $775,000 "," $151,748 "," $784,022 ",260%," $1,275,000 "," $490,978 "
"RSG Hockey, LLC",Allain Roy,07/12/1998,26,Joseph,Woll,Joseph Woll, $-   , $-   , $-   , $-   , $-   , $-   ," $332,927 "," $826,619 "," $471,951 "," $3,724,870 "," $775,000 "," $4,399,375 "," $(7,370,986)",18%," $1,579,878 "," $8,950,864 "
"RSG Hockey, LLC",Allain Roy,01/04/1999,26,Nico,Hischier,Nico Hischier, $-   , $-   , $-   , $-   ," $7,000,000 "," $1,260,896 "," $7,250,000 "," $6,199,560 "," $4,500,000 "," $12,749,433 "," $7,750,000 "," $8,099,444 "," $(1,809,333)",94%," $26,500,000 "," $28,309,333 "
Octagon Athlete Representation,Allan Walsh,10/29/1992,32,Josh,Currie,Josh Currie," $125,000 "," $1,216,543 "," $160,000 "," $384,440 "," $350,000 "," $169,260 ", $-   , $-   , $-   , $-   ," $275,000 "," $334,095 "," $(1,194,338)",43%," $910,000 "," $2,104,338 "
Octagon Athlete Representation,Allan Walsh,11/21/1994,30,Nick,DeSimone,Nick DeSimone, $-   , $-   ," $392,683 "," $136,640 "," $392,683 "," $72,160 "," $471,951 "," $247,590 "," $501,220 "," $369,498 "," $511,585 "," $1,696,445 "," $(252,211)",90%," $2,270,122 "," $2,522,333 "
Octagon Athlete Representation,Allan Walsh,03/28/1995,29,Jonathan,Drouin,Jonathan Drouin," $5,500,000 "," $5,008,351 "," $5,500,000 "," $2,073,387 "," $4,500,000 "," $1,632,570 "," $5,500,000 "," $1,171,880 "," $5,500,000 "," $1,436,447 "," $825,000 "," $7,888,973 "," $8,113,392 ",142%," $27,325,000 "," $19,211,608 "
Octagon Athlete Representation,Allan Walsh,01/09/1994,31,Radek,Faksa,Radek Faksa," $2,200,000 "," $3,074,115 "," $2,400,000 "," $2,246,283 "," $2,500,000 "," $795,892 "," $3,000,000 "," $960,811 "," $4,000,000 "," $3,276,119 "," $4,000,000 "," $1,932,209 "," $5,814,571 ",147%," $18,100,000 "," $12,285,429 "
Octagon Athlete Representation,Allan Walsh,11/28/1984,40,Marc-Andre,Fleury,Marc-Andre Fleury," $5,750,000 "," $10,379,314 "," $8,500,000 "," $4,163,839 "," $6,500,000 "," $12,149,762 "," $6,000,000 "," $5,715,336 "," $3,500,000 "," $2,884,783 "," $3,500,000 "," $1,595,532 "," $(3,138,566)",91%," $33,750,000 "," $36,888,566 "
Octagon Athlete Representation,Allan Walsh,10/05/1993,31,Martin,Frk,Martin Frk," $1,050,000 "," $300,038 "," $350,000 "," $1,365,898 "," $700,000 "," $80,933 "," $750,000 "," $770,643 "," $500,000 "," $555,000 ", $-   , $-   ," $277,488 ",109%," $3,350,000 "," $3,072,512 "
Octagon Athlete Representation,Allan Walsh,05/13/1985,39,Jaroslav,Halak,Jaroslav Halak," $3,250,000 "," $8,197,314 "," $2,250,000 "," $5,576,850 "," $2,250,000 "," $2,489,410 "," $1,500,000 "," $492,707 "," $1,500,000 "," $2,943,905 ", $-   , $-   ," $(8,950,186)",55%," $10,750,000 "," $19,700,186 "
Octagon Athlete Representation,Allan Walsh,02/27/1996,28,Matthew,Highmore,Matthew Highmore, $-   , $-   , $-   , $-   ," $471,341 "," $613,131 "," $750,000 "," $1,211,427 "," $429,878 "," $631,722 "," $432,012 "," $285,779 "," $(658,827)",76%," $2,083,232 "," $2,742,059 "
Octagon Athlete Representation,Allan Walsh,11/02/1997,27,Filip,Hronek,Filip Hronek, $-   , $-   , $-   , $-   , $-   , $-   ," $3,200,000 "," $2,814,786 "," $4,500,000 "," $5,122,865 "," $5,500,000 "," $7,848,284 "," $(2,585,935)",84%," $13,200,000 "," $15,785,935 "
Octagon Athlete Representation,Allan Walsh,06/04/1993,31,Jonathan,Huberdeau,Jonathan Huberdeau," $6,200,000 "," $8,593,156 "," $6,200,000 "," $8,713,646 "," $5,300,000 "," $7,832,678 "," $5,300,000 "," $13,327,588 "," $6,200,000 "," $5,555,400 "," $10,500,000 "," $3,183,643 "," $(7,506,111)",84%," $39,700,000 "," $47,206,111 "
Octagon Athlete Representation,Allan Walsh,08/03/1996,28,Bokondji,Imama,Bokondji Imama, $-   , $-   , $-   , $-   ," $109,390 "," $109,520 "," $147,561 "," $(32,516)"," $217,073 "," $(107,511)"," $357,927 "," $(41,457)"," $903,915 ",-1156%," $831,951 "," $(71,964)"
Octagon Athlete Representation,Allan Walsh,09/15/2000,24,Jan,Jenik,Jan Jenik, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $141,159 "," $299,397 "," $(158,238)",47%," $141,159 "," $299,397 "
Octagon Athlete Representation,Allan Walsh,02/22/1996,28,William,Lagesson,William Lagesson, $-   , $-   , $-   , $-   ," $482,317 "," $294,955 "," $750,000 "," $469,934 "," $481,098 "," $320,040 "," $608,537 "," $760,105 "," $476,917 ",126%," $2,321,951 "," $1,845,034 "
Octagon Athlete Representation,Allan Walsh,05/05/1997,27,Matt,Luff,Matt Luff, $-   , $-   , $-   , $-   ," $105,000 "," $(103,262)"," $275,000 "," $1,231,710 "," $350,000 "," $551,404 "," $400,000 "," $167,260 "," $(717,112)",61%," $1,130,000 "," $1,847,112 "
Octagon Athlete Representation,Allan Walsh,11/20/1988,36,Max,Pacioretty,Max Pacioretty," $5,000,000 "," $4,897,350 "," $10,500,000 "," $8,060,853 "," $7,000,000 "," $8,657,339 "," $5,250,000 "," $3,676,622 "," $5,250,000 "," $340,236 "," $2,000,000 "," $916,889 "," $8,450,711 ",132%," $35,000,000 "," $26,549,289 "
Octagon Athlete Representation,Allan Walsh,05/28/1988,36,David,Perron,David Perron," $4,750,000 "," $7,091,110 "," $4,750,000 "," $6,906,009 "," $3,087,500 "," $5,692,300 "," $3,412,500 "," $7,449,661 "," $4,350,000 "," $5,406,105 "," $5,150,000 "," $3,764,949 "," $(10,810,134)",70%," $25,500,000 "," $36,310,134 "
Octagon Athlete Representation,Allan Walsh,06/11/1998,26,Kristian,Reichel,Kristian Reichel, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $175,000 "," $296,389 "," $175,000 "," $465,348 "," $(411,737)",46%," $350,000 "," $761,737 "
Octagon Athlete Representation,Allan Walsh,07/29/1990,34,Jan,Rutta,Jan Rutta," $2,250,000 "," $1,714,936 "," $1,300,000 "," $1,115,795 "," $900,000 "," $2,767,255 "," $1,700,000 "," $4,412,507 "," $3,250,000 "," $1,158,752 "," $2,500,000 "," $1,630,386 "," $(899,631)",93%," $11,900,000 "," $12,799,631 "
Octagon Athlete Representation,Allan Walsh,08/08/1994,30,Dominik,Simon,Dominik Simon," $750,000 "," $3,445,381 "," $750,000 "," $1,552,973 "," $700,000 "," $98,162 "," $350,000 "," $962,586 ", $-   , $-   , $-   , $-   ," $(3,509,102)",42%," $2,550,000 "," $6,059,102 "
Octagon Athlete Representation,Allan Walsh,10/28/1998,26,Marian,Studenic,Marian Studenic, $-   , $-   , $-   , $-   , $-   , $-   ," $125,000 "," $38,051 "," $100,000 "," $527,901 "," $300,000 "," $562,791 "," $(603,743)",47%," $525,000 "," $1,128,743 "
Octagon Athlete Representation,Allan Walsh,02/07/1994,30,Nathan,Walker,Nathan Walker," $413,110 "," $432,983 "," $519,512 "," $380,994 "," $542,073 "," $(27,672)"," $546,951 "," $2,276,021 "," $551,463 "," $1,342,553 "," $775,000 "," $1,389,576 "," $(2,446,345)",58%," $3,348,110 "," $5,794,455 "
Octagon Athlete Representation,Allan Walsh,02/24/1993,31,Phillip,Danault,Phillip Danault," $3,000,000 "," $6,275,153 "," $3,000,000 "," $5,310,708 "," $3,250,000 "," $2,554,429 "," $4,000,000 "," $7,824,964 "," $5,500,000 "," $4,985,075 "," $6,750,000 "," $5,462,921 "," $(6,913,250)",79%," $25,500,000 "," $32,413,250 "
Octagon Athlete Representation,Allan Walsh,10/21/1998,26,Sean,Durzi,Sean Durzi, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,400,000 "," $4,589,530 "," $2,000,000 "," $5,519,572 "," $(6,709,102)",34%," $3,400,000 "," $10,109,102 "
Rufener Hockey LLC,Andre Rufener,02/14/1996,28,Nikolaj,Ehlers,Nikolaj Ehlers," $6,250,000 "," $4,134,911 "," $6,500,000 "," $7,066,177 "," $4,750,000 "," $5,967,734 "," $6,500,000 "," $7,038,990 "," $4,750,000 "," $3,243,475 "," $6,500,000 "," $6,748,488 "," $1,050,225 ",103%," $35,250,000 "," $34,199,775 "
Rufener Hockey LLC,Andre Rufener,09/08/1992,32,Nino,Niederreiter,Nino Niederreiter," $6,075,000 "," $5,714,231 "," $5,850,000 "," $2,252,277 "," $4,250,000 "," $4,881,054 "," $5,475,000 "," $7,043,603 "," $4,000,000 "," $4,541,054 "," $4,000,000 "," $4,048,045 "," $1,169,736 ",104%," $29,650,000 "," $28,480,264 "
Maloney & Thompson Sports Management,Andrew Maloney,01/07/2000,25,Noah,Dobson,Noah Dobson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,000,000 "," $7,084,590 "," $4,000,000 "," $9,363,060 "," $(8,447,650)",49%," $8,000,000 "," $16,447,650 "
Maloney & Thompson Sports Management,Andrew Maloney,07/29/1994,30,Liam,O'Brien,Liam O'Brien," $650,000 "," $(307,918)"," $658,384 "," $261,360 "," $653,902 "," $(447,038)"," $707,317 "," $(1,720,335)"," $750,000 "," $(1,813,729)"," $800,000 "," $(1,856,400)"," $10,103,664 ",-72%," $4,219,604 "," $(5,884,060)"
Maloney & Thompson Sports Management,Andrew Maloney,10/22/1996,28,Kai,Wissmann,Kai Wissmann, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $155,000 "," $80,080 ", $-   , $-   ," $74,920 ",194%," $155,000 "," $80,080 "
